elo_diff,role_diff,counter_score,target,type,diff_marksman,diff_tank,diff_support,diff_fighter,diff_mage,diff_assassin,diff_catcher,diff_vanguard,diff_enchanter
-250,0.0,-19.9,0,real,1,-1,-1,1,-1,0,1,0,-1
-11,-2.0,20.300000000000004,1,real,0,0,0,0,0,2,0,0,0
73,2.0,-38.00000000000001,0,real,0,0,0,0,1,-1,0,0,0
-90,0.0,-20.29999999999999,0,real,0,1,0,0,1,0,-1,0,1
-173,0.0,-5.600000000000001,0,real,-1,0,0,1,-2,-1,1,-1,0
-173,0.0,-13.900000000000006,0,real,1,-2,0,1,0,0,0,2,0
-73,0.0,2.4000000000000057,1,real,0,-1,0,0,1,2,0,-2,1
73,0.0,9.700000000000003,1,real,0,-2,1,0,1,1,0,1,0
90,0.0,-12.200000000000003,1,real,0,1,-1,0,1,0,-1,-1,1
90,0.0,5.70000000000001,1,real,0,0,0,-1,0,2,0,-2,0
-73,2.0,5.800000000000004,1,real,0,3,-1,0,-1,0,0,-1,0
-90,0.0,28.099999999999994,1,real,-1,3,0,0,0,-2,1,1,0
-173,0.0,-12.000000000000007,0,real,0,-1,1,1,0,0,-1,0,1
118,0.0,-13.100000000000001,0,real,0,-1,-2,1,-2,1,1,0,-1
-160,2.0,27.9,1,real,1,-1,0,0,1,-1,0,0,0
160,0.0,16.89999999999999,1,real,1,-1,0,0,0,-1,0,-1,0
-160,2.0,-15.200000000000003,1,real,1,0,0,1,0,0,-1,0,0
118,0.0,21.299999999999997,0,real,1,0,1,-1,-1,0,1,1,0
-42,-2.0,40.0,1,real,0,2,1,1,-2,0,0,1,-1
-59,0.0,-4.100000000000001,1,real,0,1,0,0,0,-1,-1,0,1
59,0.0,17.9,1,real,1,1,0,-1,0,0,-1,1,1
-118,0.0,10.400000000000006,1,real,1,0,1,-1,1,1,-1,1,0
42,0.0,19.0,0,real,2,1,0,-1,-2,0,0,1,0
42,2.0,-31.400000000000006,0,real,0,-1,-1,0,1,0,0,0,0
160,0.0,-4.500000000000007,0,real,1,-1,1,-1,0,0,0,1,0
59,2.0,-2.200000000000003,0,real,0,0,1,0,0,0,-1,2,0
-59,0.0,7.400000000000006,1,real,0,0,0,-1,0,-1,1,0,0
149,0.0,-18.199999999999996,0,real,1,0,0,0,0,-1,-1,-1,0
149,0.0,12.700000000000003,1,real,-1,2,0,1,-1,0,-1,0,0
-149,2.0,-39.0,0,real,0,-1,1,0,2,-1,-1,1,1
-149,0.0,-19.300000000000004,0,real,1,0,0,0,0,2,-1,0,0
237,2.0,29.700000000000003,1,real,1,1,1,0,-1,-2,0,1,0
237,0.0,28.999999999999993,1,real,1,0,0,0,-2,0,1,2,0
-237,0.0,14.699999999999996,1,real,1,0,0,-2,-1,0,1,0,-1
237,0.0,-9.400000000000006,0,real,1,0,0,0,-1,-1,1,1,-1
-119,0.0,8.199999999999996,1,real,0,0,0,-1,1,0,1,0,-1
119,0.0,12.5,1,real,-1,1,0,0,0,1,0,0,0
-237,-2.0,16.200000000000003,1,real,1,1,-2,0,0,-1,0,-1,0
119,2.0,16.5,1,real,-1,1,2,-1,0,0,0,0,0
-160,0.0,-16.0,0,real,1,1,0,0,0,-1,-1,1,0
-160,-2.0,16.1,0,real,1,-1,0,0,0,0,0,-2,0
-160,0.0,-9.200000000000003,1,real,0,1,0,0,0,0,-1,0,0
160,0.0,-12.100000000000001,1,real,1,0,1,-1,0,-1,0,0,1
-119,0.0,-17.199999999999996,0,real,0,1,0,-1,2,0,-1,1,1
311,0.0,6.100000000000001,1,real,0,-1,1,1,0,0,0,0,0
481,0.0,19.5,1,real,1,-1,-1,0,-2,2,0,1,0
-250,0.0,-18.300000000000004,0,real,0,1,0,-1,-1,0,0,2,-1
-239,0.0,27.0,1,real,1,0,0,1,0,-1,0,1,0
-311,0.0,-10.699999999999996,0,real,0,-1,0,1,1,-1,0,0,1
-481,0.0,0.6000000000000014,0,real,0,1,0,1,0,0,1,1,-1
119,0.0,-18.799999999999997,1,real,1,0,0,0,0,-3,0,0,0
100,0.0,36.0,1,real,1,-2,0,-1,1,2,-1,-2,1
164,0.0,1.3999999999999986,0,real,1,0,1,0,-1,-2,0,1,0
239,0.0,-6.300000000000004,1,real,0,-3,1,0,2,0,-1,0,1
-136,0.0,-5.200000000000003,1,real,0,1,-1,0,0,0,0,2,0
89,0.0,-22.1,1,real,0,-1,-1,1,0,2,0,1,0
250,-2.0,19.6,1,real,1,-1,0,0,2,-2,0,1,1
239,-2.0,0.5,0,real,0,-1,0,0,1,1,0,2,0
-156,0.0,17.900000000000006,0,real,0,3,0,0,-1,-1,1,1,-1
-252,-2.0,13.100000000000001,0,real,0,1,-1,1,-2,1,0,0,-1
-252,0.0,1.6000000000000014,0,real,1,-2,-1,-1,1,1,0,-1,1
391,0.0,-1.5,1,real,-1,-1,1,0,-1,1,0,1,0
178,0.0,4.700000000000003,0,real,0,0,1,1,-1,-2,0,0,0
-351,0.0,19.0,0,real,1,1,-1,1,0,-1,0,1,0
-351,0.0,-16.4,0,real,-1,2,0,0,1,-1,0,0,0
-332,0.0,-23.699999999999996,0,real,0,2,0,0,0,-3,0,2,0
-120,0.0,4.799999999999997,1,real,0,0,-1,-1,0,0,0,0,0
60,-2.0,6.699999999999996,1,real,1,-1,0,1,-2,-1,-1,0,0
-391,0.0,-14.300000000000004,0,real,1,0,0,0,1,-1,0,-1,0
237,0.0,8.799999999999997,0,real,-1,-1,1,0,0,0,1,0,-1
79,0.0,-13.699999999999996,0,real,0,0,0,0,1,1,-1,0,1
-281,0.0,-26.199999999999996,0,real,-1,1,0,0,-1,2,-1,0,0
-281,0.0,4.299999999999997,0,real,-1,-1,1,-1,0,1,1,-1,-1
-261,0.0,-8.299999999999997,0,real,0,1,0,-1,0,0,-1,1,0
-261,0.0,24.9,0,real,-1,-1,0,-1,1,1,0,0,1
149,-2.0,7.100000000000001,1,real,-1,0,1,-1,1,0,1,2,0
-149,0.0,4.000000000000007,0,real,0,0,0,0,0,-1,0,1,0
31,2.0,-22.799999999999997,1,real,-1,0,-1,1,0,2,-1,-1,1
31,0.0,-0.19999999999999574,1,real,0,0,1,0,0,-2,2,0,0
31,0.0,-24.800000000000004,0,real,-1,1,0,0,2,-1,-1,1,1
-321,-2.0,-29.4,0,real,0,1,0,0,-1,0,0,0,0
-321,0.0,-23.299999999999997,0,real,0,0,0,0,-2,2,0,0,0
401,0.0,-8.799999999999997,1,real,1,1,0,-1,0,-2,0,0,0
-401,0.0,20.799999999999997,0,real,0,-1,0,1,1,-1,0,0,0
-130,0.0,-24.199999999999996,1,real,0,0,-1,1,1,-1,0,0,0
130,0.0,-27.6,0,real,-2,-2,0,1,2,1,1,-1,0
-202,0.0,-25.5,1,real,1,-2,-1,-1,1,0,0,1,0
-11,0.0,-8.79999999999999,0,real,1,1,0,-1,0,-1,1,-1,0
320,0.0,-13.499999999999993,0,real,-1,-1,1,-1,0,1,0,0,0
-11,0.0,17.0,0,real,0,0,0,0,-2,0,1,-1,-1
-50,0.0,-12.799999999999997,1,real,-1,0,-1,1,-1,0,1,-1,-1
-351,0.0,-2.8000000000000043,0,real,1,-1,1,-1,0,-1,0,0,0
53,0.0,11.699999999999996,1,real,1,-2,0,0,-1,1,1,-1,-1
-53,0.0,-35.400000000000006,0,real,0,-1,0,-1,2,1,0,-1,1
320,0.0,-8.799999999999997,1,real,-1,-2,1,0,1,1,-1,0,1
320,0.0,-0.9000000000000057,1,real,1,-2,-1,0,0,1,1,0,0
-202,0.0,-35.5,0,real,1,-1,-1,1,1,-1,0,1,0
202,0.0,16.799999999999997,1,real,-1,-2,0,0,1,1,1,0,0
50,0.0,4.100000000000001,1,real,0,1,0,0,2,-1,-1,0,0
50,0.0,-0.3999999999999986,0,real,1,1,0,1,-2,-1,0,2,-1
-351,0.0,12.600000000000001,0,real,1,-1,0,-1,2,-1,-1,1,0
-17,4.0,-18.800000000000004,0,real,-1,1,-1,1,2,0,-1,-1,0
17,-4.0,10.0,0,real,1,2,1,-1,0,-2,0,1,0
206,-2.0,-16.299999999999997,0,real,0,0,-2,3,-1,0,-1,0,0
17,-2.0,-10.0,0,real,0,1,1,-1,1,-2,0,0,0
206,0.0,0.4000000000000057,0,real,0,1,-1,2,0,0,-1,0,0
206,0.0,-5.300000000000004,1,real,0,-1,-1,0,0,2,0,0,0
17,-2.0,-21.6,1,real,1,1,-1,0,2,-1,-1,1,0
17,0.0,13.600000000000001,0,real,1,1,1,-1,-1,0,-1,1,0
206,0.0,-14.900000000000006,0,real,2,-1,0,-1,0,1,0,0,0
321,2.0,5.300000000000004,1,real,1,-1,-1,1,-2,0,1,-1,0
321,2.0,2.700000000000003,1,real,1,0,-1,1,0,0,0,1,0
-149,0.0,0.5,0,real,-1,-1,0,-1,0,1,1,-2,0
149,0.0,2.1000000000000014,1,real,-1,-1,0,0,1,1,1,0,0
-90,0.0,-18.299999999999997,0,real,0,1,-1,1,1,-1,0,-1,0
250,0.0,14.099999999999994,1,real,0,1,1,-1,0,-2,0,-1,0
250,-2.0,12.299999999999997,1,real,-1,-1,2,-1,-1,0,1,-1,0
441,0.0,-5.1000000000000085,0,real,0,1,0,-1,-1,1,0,2,0
40,0.0,2.6000000000000085,1,real,0,-3,-1,0,1,3,1,-2,0
-40,0.0,-9.0,0,real,0,-1,-1,0,0,2,0,-1,0
-90,0.0,-16.300000000000004,0,real,-1,-1,0,0,0,0,1,-2,0
96,0.0,-21.099999999999994,1,real,0,-2,-1,2,2,0,0,-1,0
-96,0.0,10.999999999999993,1,real,-1,0,0,-1,0,0,1,0,0
-96,-2.0,-1.500000000000007,0,real,1,0,1,-1,-1,0,-1,1,0
-250,0.0,-5.799999999999997,0,real,-1,0,0,0,2,1,-1,0,0
202,0.0,-19.700000000000003,1,real,0,-1,0,0,1,1,-1,0,0
-202,0.0,-0.19999999999999574,0,real,0,0,-1,1,-1,0,-1,-1,0
-112,0.0,-17.300000000000004,0,real,-1,-2,0,0,2,2,0,-1,0
77,0.0,-15.700000000000003,1,real,-1,1,0,0,0,1,-1,0,0
96,-2.0,-8.399999999999999,0,real,0,-1,-2,3,3,-1,-1,-2,0
-96,2.0,23.9,1,real,1,-2,1,-2,-1,1,1,0,0
-202,-2.0,19.999999999999993,1,real,-1,0,1,0,-1,0,1,-1,0
86,2.0,-9.300000000000004,1,real,1,-1,-1,0,-1,1,1,-1,-1
86,2.0,4.199999999999996,0,real,-1,-2,0,1,0,0,2,-3,0
-86,0.0,-7.200000000000003,0,real,0,0,0,0,1,-1,1,0,-1
-86,0.0,-5.600000000000001,0,real,1,1,0,0,0,1,-1,1,0
-112,0.0,11.899999999999999,0,real,1,0,1,0,-2,-1,0,0,0
-441,2.0,15.899999999999991,1,real,0,1,1,-2,-2,1,0,1,0
-77,0.0,-1.3000000000000043,0,real,1,1,0,1,-2,-1,0,-1,0
80,0.0,19.200000000000003,1,real,0,0,-1,1,-1,1,0,1,0
-80,0.0,-12.600000000000001,0,real,0,0,-1,0,0,1,0,-1,0
77,0.0,8.800000000000004,1,real,0,1,1,0,-1,0,-1,1,0
-261,0.0,-11.899999999999991,0,real,-1,0,0,1,-1,1,1,-2,0
-47,0.0,-16.700000000000003,1,real,1,0,0,0,1,-1,0,0,0
47,0.0,-14.0,0,real,-1,3,1,0,1,-1,-1,1,0
311,0.0,1.7000000000000028,1,real,1,2,0,-1,-1,-1,-1,1,0
-42,0.0,-2.8999999999999986,0,real,0,-1,-1,0,2,0,1,-1,0
-42,0.0,-4.100000000000001,1,real,0,-1,-1,0,2,0,1,0,0
42,2.0,-14.0,1,real,0,1,-1,1,-1,0,-1,0,0
11,-2.0,-8.599999999999994,1,real,1,1,0,-1,0,-1,-1,1,0
-11,0.0,-7.599999999999994,1,real,0,-1,-1,1,2,0,0,0,0
261,0.0,10.399999999999999,1,real,0,0,0,0,0,0,0,0,0
47,0.0,10.200000000000003,0,real,0,-1,0,1,-1,0,0,1,0
-311,0.0,-6.900000000000006,0,real,0,-2,-1,0,1,2,0,-1,0
-42,2.0,2.0,0,real,1,0,-2,2,0,0,-1,0,1
47,0.0,22.4,1,real,-1,-2,1,0,2,0,1,-2,0
-311,0.0,10.799999999999997,0,real,0,0,-1,0,-1,1,-1,0,0
11,-2.0,25.599999999999994,1,real,0,1,1,-1,0,0,-1,2,0
-11,0.0,0.5,1,real,-1,-2,1,0,0,1,1,-1,0
11,0.0,6.999999999999993,0,real,-1,-2,-1,1,2,1,1,-2,0
117,-2.0,12.900000000000006,1,real,0,2,1,-1,-1,-1,-1,0,1
117,0.0,17.299999999999997,1,real,-1,0,1,0,-2,2,1,0,0
90,0.0,-9.000000000000007,1,real,1,1,1,-2,0,-1,-1,0,0
117,0.0,-21.299999999999997,0,real,-1,2,-1,1,0,-2,-1,0,0
-37,0.0,-11.299999999999997,0,real,0,0,-1,0,-1,1,0,0,0
-37,0.0,-9.100000000000001,0,real,0,-1,-1,0,1,1,0,0,0
160,0.0,-2.9000000000000057,0,real,0,1,1,-1,0,0,-1,1,0
